chat_id	worker_id	style	submit	duration	outcome	n00_gender	n14_online_spa	n12_ability_eng	n08_learn_spa	n11_ability_spa	n09_learn_eng	n10_age	n01_i_understand	n04_understand_me	n03_human	n05_chat	n15_online_eng	n16_online_mix	n06_texts	n13_country	n02_cooperative	n07_tech	n17_comments
C_86f44ff4a8074ea2b6c01fa2f5c7b484	A2MM1BLJGIP830	en_lex	Mon Jun 18 02:41:52 PDT 2018	17.0666666667	0	m	4	4	1	4	5	30	4	4	4	4	6	8	3	Cuba	5	3	Excellent
C_326dc1a4bb484d469981966acd08d6f0	A3DGMV7HQ51C20	en_lex	Fri Jun 15 18:32:53 PDT 2018	17.7666666667	0	f	6	5	1	5	13	32	5	5	5	5	3	1	3	Puerto Rico	5	4	I born in Puerto Rico, Spanish is my primary language. Moved to USA when I was 13, studied and learned English at school. Along this time, my English improved, but, never leaving my Spanish. I'm very fluent in both languages now, and sometimes I do write and talk some Spanglish.
C_b181db73d9354174936bd166b4677991	A3DGMV7HQ51C20	sp_lex	Mon Jun 18 17:17:57 PDT 2018	13.0166666667	0	f	5	5	1	5	14	32	5	4	4	4	3	2	4	Puerto Rico	4	5	it'd be great that we could chat in Spanglish and be understood!
C_41e783740a334e17ac8fd87efa290e73	A3DGMV7HQ51C20	en_lex	Fri Jun 15 18:43:55 PDT 2018	11.0	0	f	6	5	1	5	13	32	5	5	5	5	3	1	4	Puerto Rico	5	5	I really liked this task. Felt that I was chatting con una persona real!
C_876f0bb24adc429595212bbb40a9d0f2	A3CK3G44U565F5	en_lex	Sun Jun 17 18:26:41 PDT 2018	7.95	1	f	1	5	4	5	4	39	4	3	2	2	8	1	2	Dominican Republic, Puerto Rico	4	4	I would get asked a question immediately after i provided an answer, and it was more like being interrogated than a conversation. For it to feel more human-like, I would have to receive some sort of acknowledgment about the message that I sent rather than just question after question.
C_d261fe20ab6d4870b1ab77911d3ae92b	A1M82YWDR8IVSA	en_lex	Sat Jun 16 11:19:14 PDT 2018	4.78333333333	1	m	2	4	1	5	15	35	4	4	3	4	2	2	3	venezuela	4	4	none thanks
C_cb3a3220317641a39ce46e36d2b9a52f	A1M82YWDR8IVSA	en_lex	Sat Jun 16 11:13:28 PDT 2018	8.55	1	m	3	4	1	5	15	36	5	5	4	4	2	3	3	venezuela	5	4	could improve it, giving result of the chat, and one can know if it did well
C_6a271eb74f4048ceb816c8daaee307e9	A1IX6Q3KQM8HYH	en_lex	Sat Jun 16 05:32:21 PDT 2018	4.96666666667	1	f	4	5	13	4	0	32	5	4	4	4	5	1	3	Ecuador	4	4	This is the second time I did this task, so I was able to complete it quickly. I ignored the unrelated questions or statements from them and just kept asking about what I wanted to know.
C_7046f2caf5bf4b0a8e8452d7a832ee5b	A1IX6Q3KQM8HYH	sp_lex	Sat Jun 16 05:27:22 PDT 2018	12.05	0	f	4	5	13	4	0	32	5	2	4	4	5	1	3	Ecuador	3	4	I wasn't sure of my partner's ability to respond to follow up questions. When they made a statement, I tried to ask more about the persons they mentioned and they would make a new statement
C_479a019cf84e4deca9240ca806d560a7	A1S8POKPUCKLEN	sp_lex	Sun Jun 17 14:32:00 PDT 2018	17.4166666667	0	m	1	5	1	4	5	35	2	4	2	5	9	0	3	Spain	4	5
C_4609a0582d044737a0c8fe66b131f4f4	A21TIBPEO824YA	en_lex	Sat Jun 16 06:40:00 PDT 2018	2.91666666667	1	f	4	5	1	5	9	25	5	5	5	5	6	7	5	Peru	5	5
C_c1c9e1e8d5184af3987e6ab1b4584e83	A3GB8KV4741TYM	sp_lex	Sun Jun 17 19:30:30 PDT 2018	12.2166666667	0	f	6	5	5	4	1	31	2	1	2	1	9	0	1	Mexico and Spain	2	1
C_657bb0ee2c524597a1bf846ae10aec77	A30M9SZYJKFDS9	sp_lex	Sun Jun 17 11:17:00 PDT 2018	26.45	0	f	4	4	1	5	5	34	3	3	3	4	5	9	3	peru	4	4	I liked this hit
C_3765b6f459f6405fbfd1e8cbff7b9e60	A1K8O36N2ZDCXW	sp_lex	Mon Jun 18 08:49:20 PDT 2018	8.08333333333	1	m	2	5	0	4	4	25	4	2	3	4	7	1	1	Argentina	4	4	The chat guy made some errors in grammar. Also if they wrote 'two' instead of '2' it would be more realistic.
C_1a0079113a1f4ac6b00bb23bcf4a834c	A1UEZU1PV5R60P	en_lex	Sat Jun 16 23:18:34 PDT 2018	10.4666666667	1	m	4	5	6	4	1	18	4	4	3	3	6	4	2	Italy, India	4	5	Dialogue can be aggressive in asking questions and selecting without precedent
C_fa150dd9145148be9c56ec05742e8620	A31ZHT1TVCFADY	sp_lex	Sun Jun 17 11:52:04 PDT 2018	9.03333333333	1	f	2	5	birth	5	birth		5	5	4	5	8	0	5	Mexico	4	5	I never speak spanglish online because I assume it won't understand me. However, I do speak spanglish with my family.
C_936101165b8747b38005fc6bba074378	[none]	sp_lex			0	f	3	4	1	5	5	34	3	4	4	4	5	6	4	peru	4	4	i liked very much this hit
C_551d591be43d4452a2f1e160bbbdf6cb	AAIQ2SQ5K5RFE	sp_lex	Sun Jun 17 09:48:35 PDT 2018	12.3	1	m	4	5	1	5	3	33	5	3	2	4	5	1	2	El Salvador	4	4	Give us the answer at the end.
C_648c1f36cf0542d1a40ae56a6a9c56bf	A3AVQX8C72WZCD	en_lex	Mon Jun 18 08:03:42 PDT 2018	6.0	1	m	3	5	1	5	1	28	4	1	2	1	10	2	2	El Salvador	3	5
